,Unnamed: 0,event_source.hash,ONNET_OUTGOING_Categorical,ONNET_OUTGOING_Scaled,ONNET_OUTGOING_Outlier,ONNET_INCOMING_Categorical,ONNET_INCOMING_Scaled,ONNET_INCOMING_Outlier,OFFNET_OUTGOING_Categorical,OFFNET_OUTGOING_Scaled,OFFNET_OUTGOING_Outlier,OFFNET_INCOMING_Categorical,OFFNET_INCOMING_Scaled,OFFNET_INCOMING_Outlier,IDD_INCOMING_Categorical,IDD_INCOMING_Scaled,IDD_INCOMING_Outlier,IDD_OUTGOING_Categorical,IDD_OUTGOING_Scaled,IDD_OUTGOING_Outlier,Peo_TV_Package,PEO_TV_Categorical,PEO_TV_Scaled,BB_Categorical,BB_Scaled,Location_Identifier,ONNET_Overall_Categorical,OFFNET_Overall_Categorical,IDD_Overall_Categorical,VOICE_Categorical,Play_Type,Play_Usage,Voice_Packages,Other_Packages,Household_Types,Having_Insurance,Cluster
2845,2845,db144194b9dcc1654bde3258ba283aa9,MEDIUM,0.22831632653061226,NO,MEDIUM,0.2328296703296703,NO,MEDIUM,0.1481063579277865,NO,MEDIUM,0.21320643642072207,NO,NO,0.0,NO,NO,0.0,NO,PEO_SILVER,LOW,0.28125,LOW,0.0954861111111111,MSAG5200-ISLMT-AVR-NODE467161,MEDIUM,MEDIUM,NO,MEDIUM,TRIPLE_PLAY,"['VOICE_MEDIUM', 'BB_LOW', 'TV_LOW']",NO,NO,NO,NO,0
2846,2846,db48ccd84a1fabb8ce25e3ad7a177163,MEDIUM,0.10218799058084772,NO,MEDIUM,0.2451923076923077,NO,LOW,0.055656397174254316,NO,HIGH,0.40718210361067503,YES,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,NO,0.0,MSAG5200-ISLIDH-KGW-NODE6194491,MEDIUM,MEDIUM,NO,MEDIUM,SINGLE_PLAY,"['VOICE_MEDIUM', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
2847,2847,db5ada68c773ae41e4e0ae2c9ca97268,HIGH,0.4488324175824176,YES,MEDIUM,0.16844093406593405,NO,HIGH,0.5494996075353218,YES,MEDIUM,0.1825696624803768,NO,LOW,0.017628205128205128,NO,NO,0.0,NO,NO,NO,0.0,NO,0.0,MSAG5200-ISLND-PHG-NODE500241,HIGH,HIGH,LOW,HIGH,SINGLE_PLAY,"['VOICE_HIGH', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
2848,2848,db66999ccd90d3973e0fa00939ad8424,LOW,0.023327119309262158,NO,LOW,0.021462912087912085,NO,LOW,0.030783948194662483,NO,LOW,0.025379382522239664,NO,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,NO,0.0,MSAG5200-ISLBZ-NODE435881,LOW,LOW,NO,LOW,SINGLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
2849,2849,db6e9e05efff7248f16735d900165c47,MEDIUM,0.2665816326530612,NO,MEDIUM,0.2788461538461538,NO,HIGH,0.3481406985871271,NO,MEDIUM,0.1891679748822606,NO,LOW,0.00641025641025641,NO,NO,0.0,NO,PEO_SILVER,MEDIUM,0.65625,LOW,0.2951388888888889,MSAG5200PK-NODE438641,MEDIUM,HIGH,LOW,MEDIUM,TRIPLE_PLAY,"['VOICE_MEDIUM', 'BB_LOW', 'TV_MEDIUM']",NO,NO,NO,NO,1
2850,2850,db7dd376d9075ddc67736adbe2c7b1c4,LOW,0.0025755494505494505,NO,NO,0.0,NO,NO,0.0,NO,NO,0.0,,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,NO,0.0,UA5000(IPMB)SL-NODE385341,LOW,NO,NO,LOW,SINGLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
2851,2851,db7e4b8a8752e0a0af834f0e6eab8a0b,MEDIUM,0.2663363422291993,NO,MEDIUM,0.2388392857142857,NO,HIGH,0.3087715855572999,NO,MEDIUM,0.12686420722135006,NO,LOW,0.01282051282051282,NO,LOW,0.00641025641025641,NO,PEO_SILVER,NO,0.0,LOW,0.052083333333333336,MSAG5200-ISLPC-AGT-NODE480031,MEDIUM,HIGH,LOW,MEDIUM,DOUBLE_PLAY,"['VOICE_MEDIUM', 'BB_LOW', 'TV_NO']",NO,NO,NO,NO,0
2852,2852,db886d8ca4d0ac1d4e16cb02156ce30d,MEDIUM,0.2356014521193092,NO,HIGH,0.3097527472527472,NO,MEDIUM,0.2785518053375196,NO,HIGH,0.3529238618524333,NO,MEDIUM,0.298076923076923,YES,LOW,0.049679487179487176,NO,NO,NO,0.0,NO,0.0,C300MKI-NODE10668164,HIGH,HIGH,LOW,HIGH,SINGLE_PLAY,"['VOICE_HIGH', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
2853,2853,db94029a37ef2b9d4d00092f3e7bb9a1,LOW,0.021830847723704867,NO,LOW,0.004120879120879121,NO,LOW,0.003605769230769232,NO,LOW,0.002403846153846154,NO,NO,0.0,NO,NO,0.0,NO,PEO_SILVER,LOW,0.3125,LOW,0.13541666666666666,C300MNW-MEE-NODE18887751,LOW,LOW,NO,LOW,TRIPLE_PLAY,"['VOICE_LOW', 'BB_LOW', 'TV_LOW']",NO,NO,NO,NO,0
2854,2854,db9a2b288f129727df962cfb74fd55dd,LOW,0.0458693092621664,NO,MEDIUM,0.08173076923076923,NO,MEDIUM,0.1380985086342229,NO,MEDIUM,0.1783915489272632,NO,NO,0.0,NO,NO,0.0,NO,PEO_SILVER,NO,0.0,LOW,0.15104166666666666,MSAG5200-ISLMV-GDM-NODE482491,LOW,MEDIUM,NO,MEDIUM,DOUBLE_PLAY,"['VOICE_MEDIUM', 'BB_LOW', 'TV_NO']",NO,NO,NO,NO,0
2855,2855,dba22a3b15ba01c21705e5b9ca65d77e,LOW,0.0650019623233909,NO,LOW,0.010645604395604394,NO,MEDIUM,0.21014030612244894,NO,LOW,0.09997220041862899,NO,LOW,0.00641025641025641,NO,NO,0.0,NO,PEO_SILVER,HIGH,0.84375,LOW,0.3246527777777777,MSAG5200PH-AKG-NODE431631,LOW,LOW,LOW,LOW,TRIPLE_PLAY,"['VOICE_LOW', 'BB_LOW', 'TV_HIGH']",['V_Basic Phone Installment'],NO,['Kids'],NO,1
2856,2856,dba6a0f5970d62604783464a91cace9b,LOW,0.06745486656200941,NO,HIGH,0.3423763736263736,NO,MEDIUM,0.2537529434850864,NO,HIGH,0.9338942307692308,YES,LOW,0.02243589743589744,NO,NO,0.0,NO,PEO_UTHAYAM,NO,0.0,NO,0.0,MSAG5200BG-NODE431391,MEDIUM,HIGH,LOW,MEDIUM,SINGLE_PLAY,"['VOICE_MEDIUM', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
2857,2857,dc04814da82eb1fc89aff2abb44f6775,MEDIUM,0.10459183673469387,NO,LOW,0.06576236263736264,NO,MEDIUM,0.19561911302982726,NO,MEDIUM,0.18325647566719,NO,NO,0.0,NO,NO,0.0,NO,PEO_ENTERTAINMENT,HIGH,1.0,HIGH,0.9583333333333334,MSAG5200-ISLPK-PNU-NODE6136021,LOW,MEDIUM,NO,MEDIUM,TRIPLE_PLAY,"['VOICE_MEDIUM', 'BB_HIGH', 'TV_HIGH']",NO,NO,"['Kids', 'Professional_or_Student']",NO,1
