,event_source.hash,ACCOUNT_NUM.hash,CUSTOMER_REF.hash,VAS,Month_Subscribed,Rental
46,433b78b4a386f8586ca17ee400d158e1,caa83daa06128055356f727efacab0a8,8e0720cfe25ee81978ced3711d492ca6,BB EXTRA GB,2016-06,750.0
47,dd10166ec89e9ccf6ed04b5841495a99,dd5253ea4772b427cc0e87ff6535b058,bdfc0b71edc02a021536f91cff85f00a,BB EXTRA GB,2018-05,5250.0
48,fa05b28af3d1339f6777444696743db6,f7e5d90e8464194308301a8f63a4678f,2a52b62c36a87cfe108b4c1f79060dc4,BB EXTRA GB,2016-05,1500.0
49,d626f526b9a1facdfc9ead71949fd137,b281748996ed0ffd220f33b2ffffe3a8,8b2776921d66bac449fdd270f0fff681,BB EXTRA GB,2019-07,425.0
50,d35acb430e3221e4309d517da6ba7fea,92aa8f1efdf84efe91cf109cb0ca4d3c,b559bfb45d61e8802706f48cb5a88f81,BB EXTRA GB,2020-05,1275.0
51,d099557b3f78da46161b61bd8730983d,bd4d59633ffb8bd6fc82f3b4ada98fe9,400629940da7088a0dc2f1b24fc447c9,BB EXTRA GB,2018-09,750.0
52,6e591863b5992b27fb404843582c6b31,8894fe0208a0251fb645b953cdec93fc,b33d4fd5c08c2e1f67eb103c2fd5a12d,BB EXTRA GB,2018-05,750.0
53,0bac5a8c91be2b6c802d611b7d4c1998,0ca3ab018969fe6e4338b1ebd767eaae,a9904b76691e7e85022f84f1001cb006,BB EXTRA GB,2018-05,750.0
54,fa0c8ed6e92cef355b0e22b8223344e3,a1e2b9c2faf456eece4bb507dd044fcd,ae041952f243955016cb60d82413a8bf,BB EXTRA GB,2016-03,750.0
55,095560b001cf12d1d9cd711dcea71164,6e663c138df5e7af4e67a6101e66435f,b53ee690dd7463124b52dc53809b13c5,BB EXTRA GB,2019-08,680.0
56,c8303f3e470481c77475e0fb7162c57b,d1d1785fd3a15a110c8749bb62452a43,4ade2d4bdaffcf91d23c254a2c18da3e,BB EXTRA GB,2016-03,750.0
57,16470e8abcff03f45c4b0dcab6290d85,af66a61a98c385584e3fccfd8dcc5412,1eca97f3ce8ee40e866677fdccc1d60e,BB EXTRA GB,2016-03,3500.0
58,390c6045803d1ed237954529c0fe81a1,d54af3961d00eb3e721ce7cc7574e4b4,19a92b49f733c4ece2ff7278a565c139,BB EXTRA GB,2016-03,1500.0
59,3103106aa4c31019c019cf7989d85614,29e4ed1dd895c838aae14cef338f8640,6048d4cca6eb5b161321e536031dfe17,BB EXTRA GB,2018-08,13500.0
60,d285cd403f0bcedf0072777ef9a724d7,59322724d5029e5667d19ae164cdc16d,efeab37d377b0f32b7f70b159f824652,BB EXTRA GB,2017-07,1500.0
61,dfd3467366b69aa2aea32669ec6772d7,2fa6622ecc7562f51f61609def4ca952,a69741a68e174ff471dffc6b8ca3c4da,BB EXTRA GB,2019-08,3525.0
62,b297e76d28de5a7c47e6841bcb1fb371,6c4e0622eabb0cd72da7dee9ac9e1996,3671aef12aa20d351d9e11f01ad0c956,BB EXTRA GB,2016-08,1500.0
63,6ddf2bbe52cfb2b116c0af7d6c8eadac,5d853feeb09048ff7abde29cbaa8ec51,afbd221ba37a5d89aaf0d44a472f7ce7,BB EXTRA GB,2016-08,750.0
64,e27efc248ee2433fdeb99674f3c2d234,4a53c2f008c7fcb139a7f3b90e2b0f85,e92e460daa0be0f4b80b0e215cfdf579,BB EXTRA GB,2017-07,3500.0
65,92eb59c5a5b6492994a73f1225abb68e,9add9ec21eb9eefff97069a904cd9bd4,175bf7d598d4c67236a0cde6552edf00,BB EXTRA GB,2018-10,750.0
66,e364512e2231ec117630d0aa701fd09f,20b653ca3f24c6da6861aa63ba091c6c,1e1cae29e91acf2e2464aec78ad8533c,BB EXTRA GB,2018-08,7500.0
67,d41d8cd98f00b204e9800998ecf8427e,949e14e85d36002ffb954d42d3366936,51ee71e46ba64034adaf383345028fb8,BB EXTRA GB,2019-02,3750.0
68,56372d583503ada1a1d3b996afd0f217,b3b852a39b3cdb5d170042cc434ba0b0,d4a4b09a48d844ae3adb70206e2cf929,BB EXTRA GB,2019-08,2350.0
69,dd10166ec89e9ccf6ed04b5841495a99,dd5253ea4772b427cc0e87ff6535b058,bdfc0b71edc02a021536f91cff85f00a,BB EXTRA GB,2016-07,250.0
70,dd10166ec89e9ccf6ed04b5841495a99,dd5253ea4772b427cc0e87ff6535b058,bdfc0b71edc02a021536f91cff85f00a,BB EXTRA GB,2019-08,725.0
71,b9ff7c6d870b179c2b0f1b7adc0c8c77,b30b53ebc3474896e19e08b36a4f6751,efeab37d377b0f32b7f70b159f824652,BB EXTRA GB,2019-08,425.0
72,8eb331012e734d80ff7d4448f34b5a8a,83041b23b6ad1c70326076d1210fa761,ac995f79a7164b89de084396352b343b,BB EXTRA GB,2019-08,200.0
73,553b83a86a45dc7e883af4d3c798e609,8a4cfb7794e8ccf384a7a1b0c9a964eb,9ef00333d38330efb839b6f5df00a5ea,BB EXTRA GB,2016-04,2000.0
74,4d4543b0adead7d90996b7108ba5b9f5,b027d65390a0c725b9ce41e409f9797e,f915b183884f8197b358c9638584531c,BB EXTRA GB,2018-06,500.0
75,3ce6fead610bb5ce0347510950c3e1fa,923659db0ab915e85c7c0c6aa499a0b9,760ec3b7ccf00772e69b861abc46316e,BB EXTRA GB,2016-04,2750.0
76,6ddf2bbe52cfb2b116c0af7d6c8eadac,5d853feeb09048ff7abde29cbaa8ec51,afbd221ba37a5d89aaf0d44a472f7ce7,BB EXTRA GB,2018-06,1250.0
77,095560b001cf12d1d9cd711dcea71164,6e663c138df5e7af4e67a6101e66435f,b53ee690dd7463124b52dc53809b13c5,BB EXTRA GB,2018-08,750.0
78,2722700c496ddd36e96aac5730d96725,733f5c3b394b6e2779e1f01f16068417,c072f6ba27866d25c37011a84c73a637,BB EXTRA GB,2016-05,1000.0
79,e27efc248ee2433fdeb99674f3c2d234,4a53c2f008c7fcb139a7f3b90e2b0f85,e92e460daa0be0f4b80b0e215cfdf579,BB EXTRA GB,2018-08,5400.0
80,599a4e4cbdb4154cf50856d8ebebc609,5d9dca5108d2a8cffb365bf0c9b8d458,34548b82461ecf54989e47abbf8b7fa3,BB EXTRA GB,2019-06,625.0
81,f309fe61d5cb7f33b20b273e7885a94d,a4ace850f2dd3b34c4f16ae6174a5603,adbc322bfa8580deac8b10caed3f41e8,BB EXTRA GB,2016-10,750.0
82,9d64decbfe26e5f343c9d1e2ae2b9981,56627b488c93d1a8cb5e53950d9958b7,bc4e6d984b12bb8152ada76efcfc21cd,BB EXTRA GB,2019-03,250.0
83,b9ff7c6d870b179c2b0f1b7adc0c8c77,b30b53ebc3474896e19e08b36a4f6751,efeab37d377b0f32b7f70b159f824652,BB EXTRA GB,2018-08,750.0
84,e8a7c602cffd42267a0e930b0225e7d8,0fb8c557d22f3fafbf573d925b8d5f96,b2f881d07b3b2debbee9ab04562b3f62,BB EXTRA GB,2018-06,5500.0
85,a40809d67395ab303fb8ddd8fc52aaf0,9c1b9f6d009bf32f4a978b98215763b6,7c4bd2558a57e0a2cd4655468ed5767b,BB EXTRA GB,2019-09,2550.0
86,d190c1dcf8fc76a8143ca9c0446bebf1,95ac85c80ab64e565eaeb12a71855f06,b2fb31d98d2df1204c6c6b93756fa74a,BB EXTRA GB,2019-09,3400.0
87,61c9d66c0f3a8643352c6c5fb21b1982,ab608dcb7ae6ba13441cc05cd94dc572,ee1aaf041d1f095bccc38bc261119b1a,BB EXTRA GB,2016-11,2250.0
88,f6b26042c553980b980c65fa17863e48,5fe6167e991cf9e66f99d5e65b725fa1,669a7bfa719dd0c7b73d9d6d8eef315b,BB EXTRA GB,2018-08,2250.0
89,61c9d66c0f3a8643352c6c5fb21b1982,ab608dcb7ae6ba13441cc05cd94dc572,ee1aaf041d1f095bccc38bc261119b1a,BB EXTRA GB,2019-09,1700.0
90,416358a97abcef5bcd1486beb5308aa9,8205036780dd6dc9ecc01e3d11d65439,809ee35922d6c8ec65e8a8a9d0f82aef,BB EXTRA GB,2020-04,200.0
91,c376c199fa624c6bfc1eff4acf139c33,442383625f007a7e15a730a7cc64803f,d2fc2712a2f3c90b011302114746f9f1,BB EXTRA GB,2013-05,250.0
92,9889bc1f5c6753bac3b8506af471a706,708ec595df8a31e818ec6b58bbb7ace8,062dea8621dcacddb518ee759b14fb82,BB EXTRA GB,2020-04,200.0
93,1aea0ff517235975239259027115fcc5,93c54997547ad2ee368728bc72ab5c98,68579d281be3dd65ea65f2b9bd34e505,BB EXTRA GB,2020-03,300.0
94,f23d6e804df93ab64eaf1c29918cc868,9257b8b54ff3fb0c807ce71d5e0fb3b6,cec439e90ad6d731dfc1b30c1caf59da,BB EXTRA GB,2020-04,300.0
95,59b33cd0df3eb483e597314a245676e4,2f60b16e58320a419a9b19d502ff7701,22985a4b455bfa6d1159e6f2de6310d8,BB EXTRA GB,2020-04,950.0
96,bc9c16ee7a7287c73295e562775e5588,2b1f1161870583f0b5280e0c5d629c78,f8ba36bf0b0f8910475d26769ff2fea5,BB EXTRA GB,2018-01,500.0
97,916a1ebbc571dc3d9758c078a5069f44,e17407c2f6581dc7f32e9e3c30e6e64b,bfd6f9cc3ed23376dd9141e38f26cbe4,BB EXTRA GB,2017-07,250.0
98,1e9206024b044e1dbd6f2007296f6d35,ff6a9ebde4f19c42c852aa679c877b41,2085f60342c2ea4527959303a31c803e,BB EXTRA GB,2020-06,425.0
99,61c9d66c0f3a8643352c6c5fb21b1982,ab608dcb7ae6ba13441cc05cd94dc572,ee1aaf041d1f095bccc38bc261119b1a,BB EXTRA GB,2020-04,425.0
100,3b0ecfa9a472a4c72182d7810d87804a,a57a742403515e5e416acc850e5f25df,8b5a1d7bc3f7f0c4a425e1c2cf7c6511,BB EXTRA GB,2020-07,425.0
101,d9f49c6a06e27f02838f5fea739296a2,f1b9e20ee41e971d522c432470754867,95e31ac44c68dc6042c6182df7f10e9f,BB EXTRA GB,2020-04,1675.0
102,90dd0158ebdfda20398ccf7a4ea29e5d,50cf8d74511fd6337cbef6cd5f8fb12d,77bdb4ff769d4a633257ab281e440650,BB EXTRA GB,2020-05,4700.0
103,5f12a0387a8c06af1840d2ae6b17021c,9eba4b17c60fe871c9a746d63852c5ac,8ad4f74878173c81c04917057c7aa50f,BB EXTRA GB,2020-05,850.0
104,c543420ba9e210f307f495f5c8527f86,276ed6852f3e00ab8a3486fe88ce73ca,0d5e3767ff183d6936092b14b45338ea,BB EXTRA GB,2020-05,850.0
105,849884509eb379026b98c815c00f909a,e85fd21e8b6c3633b8bfe02df52072f2,536537d5fdf56a0d6be680ba8c34c314,BB EXTRA GB,2020-05,850.0
106,c771fd06c724a9b4b88b6f49aa40e525,9759a949ad556492f2ec6a6b5a7ffc82,1ca72c454559d252c807671c4c7f8a40,BB EXTRA GB,2020-04,200.0
107,919ba5f18ce708afcd4f545150021b0e,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,BB EXTRA GB,2020-07,15020.0
108,28a5e055716cbe7b8e64ee51ba617de8,c148b260600621385036a5c7c3a9b13f,ac2d3bc9459c0a6647717df6a8693c65,BB EXTRA GB,2020-06,100.0
109,02e1927126eb0391bc6fb78113ea5525,d284e1191d20b572d37e0d3eaff43e3b,61c79ead1ea5eb6b1b982738e065578d,BB EXTRA GB,2017-08,2250.0
110,a4a28243b8f282cd18f298d9e2fab243,729e0a0a75015a8908d0989386f4454e,dcd2f80daa0b3d9f09eecd7657921048,BB EXTRA GB,2020-07,31500.0
111,765df104b1249a745e11125b099aac1f,40b83b2408241641beda57ccda54ea1f,f4db10747e5d783924aab0738adc31a9,BB EXTRA GB,2020-07,2225.0
112,073ccbc9d9cdf62a8cb01301bac5deeb,2ea6c5e59c02744c036fe8ff6cccfb7c,0e6536070be7f081c6c08162792b0161,BB EXTRA GB,2020-07,425.0
113,b6972c5fdbb292ab4b54aa3e72fcc741,56b6ed37e0621100f8768b156fa7b14a,7fd9052b67b26d86a7fd41b01a2ce0d0,BB EXTRA GB,2020-07,850.0
114,b7f7b30a2e234e0061c176a407eb4c91,494de320778db98d7fa1751e8d60064c,c88fed8244fe0b5ff0485a98b1a5f635,BB EXTRA GB,2020-07,935.0
115,849884509eb379026b98c815c00f909a,e85fd21e8b6c3633b8bfe02df52072f2,536537d5fdf56a0d6be680ba8c34c314,BB EXTRA GB,2017-04,750.0
116,79252cc9136c20db7876b2dca54ff5fb,e190bddedee7e06e29f6720ad41c53f6,15b7127daad7532484caffc10ebd916a,BB EXTRA GB,2020-06,425.0
117,fd4e6131d35294db04e27fae958c0dd2,38b2614973f3729c7c0afcf96f3e6657,c66d29463366bae43ed36e287f3dc359,BB EXTRA GB,2016-09,250.0
118,6ddf2bbe52cfb2b116c0af7d6c8eadac,5d853feeb09048ff7abde29cbaa8ec51,afbd221ba37a5d89aaf0d44a472f7ce7,BB EXTRA GB,2020-07,2750.0
119,61c9d66c0f3a8643352c6c5fb21b1982,ab608dcb7ae6ba13441cc05cd94dc572,ee1aaf041d1f095bccc38bc261119b1a,BB EXTRA GB,2017-07,750.0
120,16270862ce91de6da01ae2187cd3833e,787d13b4fa1a0abbaa332d1fc26f3cba,9643c7e123c5dbcf58f586f831f75842,BB EXTRA GB,2020-06,850.0
121,4032ab9f6daed73e0043d9fdd5e9eaa8,2740366fe8e8525e4734076ed2c55b74,1f50de6d328d488329a8dad115ba253f,BB EXTRA GB,2020-06,425.0
122,d41d8cd98f00b204e9800998ecf8427e,949e14e85d36002ffb954d42d3366936,51ee71e46ba64034adaf383345028fb8,BB EXTRA GB,2017-04,4750.0
123,dae260cdb5f4b4ac637c62e7f378bf05,6f5a50d14f88a8bbed200d30e65ddf20,56bcfc6b190063f24de1a57267a8054c,BB EXTRA GB,2017-07,750.0
124,58b21402ecd8a8d451958eb3a57c0e13,87f0f2a0c4ed2d05ce5279799a6fd79d,41801a841ae02d8054b9acfc8e4e8fd2,BB EXTRA GB,2020-07,100.0
125,390c6045803d1ed237954529c0fe81a1,d54af3961d00eb3e721ce7cc7574e4b4,19a92b49f733c4ece2ff7278a565c139,BB EXTRA GB,2017-02,3000.0
126,8c63a9b013f6c1ef5546d5c67402a0ff,02c47c646ce82016d2f5172114410cce,f5ca7bb2c6b8c1376e6aa49813c1cc5a,BB EXTRA GB,2016-09,1000.0
127,16470e8abcff03f45c4b0dcab6290d85,af66a61a98c385584e3fccfd8dcc5412,1eca97f3ce8ee40e866677fdccc1d60e,BB EXTRA GB,2016-11,1250.0
128,fa0c8ed6e92cef355b0e22b8223344e3,a1e2b9c2faf456eece4bb507dd044fcd,ae041952f243955016cb60d82413a8bf,BB EXTRA GB,2016-11,2250.0
129,49ade664ea126c183f3fe034b581e4a2,b130cd91df3e55bb333d7d023c248e9c,b093bc0d4c7069ee4f8f47a8128d567a,BB EXTRA GB,2017-05,1000.0
130,095560b001cf12d1d9cd711dcea71164,6e663c138df5e7af4e67a6101e66435f,b53ee690dd7463124b52dc53809b13c5,BB EXTRA GB,2020-07,3750.0
131,fa05b28af3d1339f6777444696743db6,f7e5d90e8464194308301a8f63a4678f,2a52b62c36a87cfe108b4c1f79060dc4,BB EXTRA GB,2017-07,9600.0
132,947fa5f2d3bfc3dc81b081e38edb7eb3,6720a48f417f94f01c81e5eec262b7bc,7e06c6c0fa7157fae7471df104466c74,BB EXTRA GB,2017-08,750.0
133,d30b70fe79517935dac52d65e5c060d9,f82988e91a4bf7836b6ae8dd3cc299a8,2cde47b934970c9288d1f2787446239c,BB EXTRA GB,2017-12,1500.0
134,947fa5f2d3bfc3dc81b081e38edb7eb3,6720a48f417f94f01c81e5eec262b7bc,7e06c6c0fa7157fae7471df104466c74,BB EXTRA GB,2019-06,425.0
135,2648f85fb293834e39325dd19b9157bb,e0760f53a2674153062261e224db3f3f,29d716405f7899e4dc63283c82a074ea,BB EXTRA GB,2020-07,425.0
136,90dd0158ebdfda20398ccf7a4ea29e5d,50cf8d74511fd6337cbef6cd5f8fb12d,77bdb4ff769d4a633257ab281e440650,BB EXTRA GB,2018-07,3500.0
137,e3ba3b976d5d470874a95ba467ef3dd2,4b9b93f6ee97efcbef1390bc711c09fc,6bfed4d51b694a73df6edb20a3c48de0,BB EXTRA GB,2018-02,250.0
138,c8cccdf404fee6600f2c8c00a0d9f8d0,89e2b3876f67fa7b1dc52940620c5b6d,47865423ef31e58d4e5725e9e232ef87,BB EXTRA GB,2018-08,250.0
139,fdfaf5fa5700c3f377d21a6ceddeef0c,12d21c77b05d5952636c8bd916380c4f,9d552063f2607addc3affc2a78a2f60a,BB EXTRA GB,2018-08,7500.0
140,fd4e6131d35294db04e27fae958c0dd2,38b2614973f3729c7c0afcf96f3e6657,c66d29463366bae43ed36e287f3dc359,BB EXTRA GB,2015-09,3000.0
141,87139585476072a57c6ca4c1b8a03a3c,0af54aadb6f99ea7dba03d4bba175478,e5cd8654619553564d2ef41e1218965f,BB EXTRA GB,2018-02,2250.0
142,388e0d92cbadae33373d0ada6a2a1563,1eba7f55e39fa936b715b4cbff9777d4,c42b640d407ad67824e9e61e1e881f41,BB EXTRA GB,2018-08,7500.0
143,16470e8abcff03f45c4b0dcab6290d85,af66a61a98c385584e3fccfd8dcc5412,1eca97f3ce8ee40e866677fdccc1d60e,BB EXTRA GB,2018-02,250.0
144,61c9d66c0f3a8643352c6c5fb21b1982,ab608dcb7ae6ba13441cc05cd94dc572,ee1aaf041d1f095bccc38bc261119b1a,BB EXTRA GB,2018-03,2450.0
145,16470e8abcff03f45c4b0dcab6290d85,af66a61a98c385584e3fccfd8dcc5412,1eca97f3ce8ee40e866677fdccc1d60e,BB EXTRA GB,2017-02,2250.0
146,919ba5f18ce708afcd4f545150021b0e,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,BB EXTRA GB,2018-03,37500.0
147,d41d8cd98f00b204e9800998ecf8427e,949e14e85d36002ffb954d42d3366936,51ee71e46ba64034adaf383345028fb8,BB EXTRA GB,2018-03,7250.0
148,fa0c8ed6e92cef355b0e22b8223344e3,a1e2b9c2faf456eece4bb507dd044fcd,ae041952f243955016cb60d82413a8bf,BB EXTRA GB,2018-03,1500.0
149,61c9d66c0f3a8643352c6c5fb21b1982,ab608dcb7ae6ba13441cc05cd94dc572,ee1aaf041d1f095bccc38bc261119b1a,BB EXTRA GB,2018-08,2250.0
150,390c6045803d1ed237954529c0fe81a1,d54af3961d00eb3e721ce7cc7574e4b4,19a92b49f733c4ece2ff7278a565c139,BB EXTRA GB,2016-10,4500.0
151,12dbf30cc8c4b49054b4032401ccdece,14c0d047585a207b95283ef5a8e92183,e185a8eee2a063a1a3f6699874537344,BB EXTRA GB,2017-04,500.0
152,a5ea86dc15a33e393a5731fd5e482afd,52e7c04d12cb33c77031760584a9586e,cc9cde6ff7e8a085c9bdcd5d870e3624,BB EXTRA GB,2018-04,1500.0
153,d285cd403f0bcedf0072777ef9a724d7,59322724d5029e5667d19ae164cdc16d,efeab37d377b0f32b7f70b159f824652,BB EXTRA GB,2019-11,425.0
154,8eb331012e734d80ff7d4448f34b5a8a,83041b23b6ad1c70326076d1210fa761,ac995f79a7164b89de084396352b343b,BB EXTRA GB,2019-11,425.0
155,553b83a86a45dc7e883af4d3c798e609,8a4cfb7794e8ccf384a7a1b0c9a964eb,9ef00333d38330efb839b6f5df00a5ea,BB EXTRA GB,2018-05,1500.0
