ACCOUNT_NUM.hash,package,ratings
6e32d0a348d1ad246daa4104318d95b4,Any Beat,0.041666667
95e5076b7b144b65a98b2b0587330986,Web LITE,0.036458333
bfb7d1428bbb21cf1c1269e01add9b69,Web Starter,0.5
3c5f944ac7ca4dae15214e9a2a1fc4fe,Web LITE,0.473958333
0229633f66008af9de26cf997639b5df,Web PAL,0.796875
802dfb66008171c83b8c8ef328c61d11,Entree,0
e190bddedee7e06e29f6720ad41c53f6,Web Family Plus,0.875
d3e013aa511a9cfa73d20b8c393a5fd1,Web Family Plus,0.916666667
687b491bf6c2e01f7ce625cdbe82db29,Web PAL,0.197916667
9b8346602e41e448af8355cf74ddc43f,Web LITE,0.010416667
210dcb248ee4c4826bb2aa0a6b1a9c91,Web Starter,0.286458333
455670994ab29b5f74a089a71e46ca75,Web LITE,0.328125
d3c504e5627dd24df522ac1089f86671,Web PAL,0.079861111
b67e9ae8b128d76082bca87e1377c49a,Web LITE,0
1ac9cef55b7a012cf97dc32bf9d589d6,Web LITE,0.578125
c3a650f55ebf0c79bd3a866ac8e250b9,Web LITE,0.303819444
73be49dc0b94ec282b0c13e9bb71c83f,Web PAL,0.395833333
d239107b00b48f09a418d447765592e4,Web LITE,0.743055556
b4beb3d33fcb942ab8c581a0a5d97ae5,Broadband Experience Package,0
b3d5c12bcaa45ac6a96133d03f33785b,Broadband Experience Package,0
f8a36cffe447f3845a06a385a1d3e963,Entree,0
7db2a1da08542d03b0f6c5a83ca1d202,Web LITE,0.177083333
21e2a94960106171ac59b4a319087d42,Web Starter,0.548611111
4b1f7bfd0aa9b296e1b62885043a0167,Web Family Plus,0.078125
742129811b7450317b449b71bfaee558,Web Family Plus,0.118055556
bac04efa07cd80de912fc42bcc3d17e8,Web Starter,0.432291667
b65fefee971a5179158d4ab784714866,Web Starter,0.807291667
abf81e41ccbd84f2f2d76b249ee65ba3,Web Starter,0.291666667
66a495b16b6727035cc7ea73dc20dfeb,Web LITE,0.173611111
16ba7704ef69803d3d41ebde44ad1c06,Web LITE,0.107638889
0d59eb86d8e340c1a071e6901e85a49d,Student Package 2,0.206597222
a28570d88b6072fbacb0d00988b18ac8,Web Family Plus,0.463541667
352d3632a9aae5fd17e1efc85fdbae74,Entree,0
bd35f3fa69e24bfd9b6ddac5a728df04,Web Champ,0.744791667
ab8c3170ca6610a4880fb33d4eabd8c4,Web PAL,0.260416667
3ac8ee29046417f579c1a8030f0e57f5,Web Starter,0.048611111
50fd812f3a1633eb98074d45ff427d1b,Web Pro,0
03489485bb11b7474395412e1ecd952e,Web Family Plus,0.453125
