,event_source.hash,ACCOUNT_NUM.hash,CUSTOMER_REF.hash,Peo_VAS_Package,Peo_VAS_Month_Subscribed,Peo_VAS_Rental,Peo_VAS_One_Time_Charge,VAS_Count
205,05fde40aa2370d6819f00feed9fdde99,d1d1785fd3a15a110c8749bb62452a43,4ade2d4bdaffcf91d23c254a2c18da3e,['BB_PeoTVGO'],['2018-12'],[0],[0.0],1
206,05fe3dd36cb6e6bbaa39ceb4c7c62c6c,d3e92a3b5f6d9389270489a762cd5b89,a1f1deda47c60394a0da563e30128f01,['E_SLT PeoTV Service'],['2018-08'],[899.0],[0.0],1
207,060636e5de372184a3d422de99e3269e,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['E_SLT PeoTV Service'],['2018-09'],[899.0],[0.0],1
208,06102b760afbf16b0bc9c114964808a0,dcab884afd6c1a13df78119714e9b76e,10cbb7cbabcfa7868a816f1f4f0187bb,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
209,0611aa6a5297dfe2596f75149b241f46,ab5f9186fefae73c572cf322d5f48d8d,6a65937cd6c2fa916a5040d5932983af,['BB_PeoTVGO'],['2018-08'],[0],[0.0],1
210,0621c972fb512f2e085e27761aebcfaa,ee32cf0c7ba64fbe3a5570abdfa1a406,9a1a4f57b7647fdfac5974cff1e0e9f8,['BB_PeoTVGO'],['2019-05'],[0],[0.0],1
211,06233929ed8fa13bfcaa270b5572985d,d284e1191d20b572d37e0d3eaff43e3b,61c79ead1ea5eb6b1b982738e065578d,['E_SLT PeoTV Service'],['2017-04'],[899.0],[0.0],1
212,062b03602e66a5d72424cfefc4f2b33f,59322724d5029e5667d19ae164cdc16d,efeab37d377b0f32b7f70b159f824652,['E_SLT PeoTV Service'],['2019-11'],[899.0],[0.0],1
213,062f898533bf7d97e9696f5495991e3c,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,['E_SLT PeoTV Service'],['2018-09'],[1499.0],[0.0],1
214,0639aaab004a7ccf73b80f4b99649d84,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
215,063f3be0a6af9f777434429112257c03,07cd6e4581f24168de8a6a6286c61e4c,24704af45d2a0991d350cb34300ee2be,['E_SLT PeoTV Service'],['2018-08'],[899.0],[0.0],1
216,064f40334303d44bdb5943dbed9017f9,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
217,065a5607ccaa4445aedcbd4e46cc7479,9886d2e4e61e33d0a4388667c7bfc68c,25765bc4c44f0184136f85a94d129d56,['BB_PeoTVGO'],['2019-12'],[0],[0.0],1
218,065bd74290a6555a4905883b99e6cf5f,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
219,065c5a80ba1e385c5934740805ef5f6d,95ac85c80ab64e565eaeb12a71855f06,b2fb31d98d2df1204c6c6b93756fa74a,['BB_PeoTVGO'],['2018-12'],[0],[0.0],1
220,0660dbcc2c7b85dac45b63f302d21d90,8ce4fe811face4a69aaed5826e59cba8,aa6c27b92f35bafbc13e0803cd97eff2,['BB_PeoTVGO'],['2018-12'],[0],[0.0],1
221,067bc55e779489489b165f049255bff5,af66a61a98c385584e3fccfd8dcc5412,1eca97f3ce8ee40e866677fdccc1d60e,['BB_PeoTVGO'],['2019-04'],[0],[0.0],1
222,0682ffd5c8d3e62febf752b6cdbced3a,72468a66915ec413e33079dd8cc383e2,e12197c926608e62b7c87e2ce5987d21,['E_SLT PeoTV Service'],['2018-08'],[899.0],[0.0],1
223,068c07ec0c7bb58658e3ae10b6204960,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['BB_PeoTVGO'],['2018-09'],[0],[0.0],1
224,068d07149319d39fdd451e8baee9ab44,9886d2e4e61e33d0a4388667c7bfc68c,25765bc4c44f0184136f85a94d129d56,['BB_PeoTVGO'],['2019-07'],[0],[0.0],1
225,068d3638953f9bc843ccebf0491be177,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
226,068feb9ee20d859a7a0bf705a4e149dc,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
227,06956ae20b19c0568e2bb5602116f6c7,2d3c09ba08e6a70dbc5988cbbb2fa115,2202f30a933b2c161c159cba3e985d0a,['BB_PeoTVGO'],['2019-02'],[0],[0.0],1
228,069b9546adc5921ccb09bbc9a138e9f5,a1e2b9c2faf456eece4bb507dd044fcd,ae041952f243955016cb60d82413a8bf,['BB_PeoTVGO Revenue code'],['2020-04'],[249],[0.0],1
229,069c917e3a29655332945862833d793e,a88cf429a820eb62f5859ad4369dd728,9ff074682225431ff063ec64e53fe6e2,['E_SLT PeoTV Service'],['2019-04'],[0],[0.0],1
230,06a9638102ec35a9a2eef870ee04338e,6cb73a4f1974baf343039aac0c589734,abf851d2c3eaf4338abb5ab84188d4d1,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
231,06b3c8e2e60e881a571273d35220b8a5,3ddb2d7662603871c7354efbf1e54826,79e2795e892dc9cc683804537c91acb2,['E_SLT PeoTV Service'],['2018-08'],[899.0],[0.0],1
232,06b40bc3af1fdc8c81fbf83b99a5d5d2,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
233,06babdcb7c5d3e9171bfce89852c147c,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['E_SLT PeoTV Service'],['2018-09'],[899.0],[0.0],1
234,06c4e620ee028ef71dec5081ebd60150,d1de331efccb97becd19f12d17774a7a,c764c97759c84ad6ca2eea63c60b6491,['BB_PeoTVGO'],['2018-12'],[0],[0.0],1
235,06c96062a1e099d3d3abeee7dd9c1acb,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
