,ACCOUNT_NUM.hash,Phone_Number.hash,Phone_No_Count,PRODUCT_NAME,Product_Count
34,15122086b5dff783c626d6d102b4182b,['ded9f9d1107d0f442ad8a8acf626cba2'],1,"['V_SLT CLI', 'V_Double VAS Bundle', 'AB_Megaline', 'V_IDD', 'V_DQ Contact Details', 'AB_Citylink Loyalty Rewards', 'V_Incoming Call Memory', 'V_Call Forwarding Offline', 'V_Call holding', 'V_Call Transfer Three way', 'V_Call Forwarding by time', 'V_CLI presentation in call waiting', 'V_Call back on busy', 'V_Anonymous call barring', 'V_Incoming Call Transfer', 'V_Call park', 'V_Outgoing Call Memory']",17
35,15a55e4cc26ec3bfcf291da8cf4c5b09,['603cefb461111f70653b606298757799'],1,"['V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Call Forwarding-Immediate', 'V_Incoming Call Transfer', 'V_Call Forwarding by time', 'V_Outgoing Call Memory', 'V_Call holding', 'V_CLI presentation in call waiting', 'V_Caller name sending', 'V_Selective call rejection', 'V_Call park', 'V_Call back on busy', 'V_Anonymous call barring', 'V_Secretary service', 'V_Selective call acceptance', 'V_Selective call waiting', 'V_Password call barring (secret code)', 'V_Call Forwarding Offline', 'V_Incoming Call Memory', 'V_Caller name identificationPresentation', 'V_Complete call on no response', 'V_Call forwarding selective', 'V_Do not disturb service']",28
36,16195d6ea26221cbf854e51521778d07,['2155990c85d9a8f95a32328eb324e978'],1,"['V_Incoming Call Transfer', 'V_Call Forwarding Offline', 'V_Call back on busy', 'V_Anonymous call barring', 'V_Call Forwarding by time', 'V_Outgoing Call Memory', 'V_CLI presentation in call waiting', 'V_Incoming Call Memory', 'V_Call park', 'V_Call holding', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Waiting', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Call Forwarding-Immediate']",18
37,16f2a9ef9a93dd6f1a36dce7aee689b1,['5b6781b3d400c6cb73f5f86afb101e79'],1,"['E_Video on Demand', 'E_TSTV', 'E_PeoTV Initiation']",3
38,17e06260816696045f8c5b232c629022,['3e7e191b7d879038577c1b323b858e99'],1,"['V_Call Transfer Three way', 'V_Absentee service', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Abbreviated Dialing']",8
39,18de85ad042723ae2bf9d1bd2d1fa9ea,['96a6a5082ab7c4638898fb7e411313a6'],1,"['V_Call Forwarding', 'V_Abbreviated Dialing', 'V_Call Waiting', 'V_Hotline Service', 'V_Call Forwarding-Immediate', 'V_Hotline-Immediate', 'V_Hotline-Time Delayed', 'V_Absentee service', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']",10
40,18f6a17d27de55f7b8c9e0bddab9404f,['70d272d98fce8d869d1f855ee38f8fb3'],1,"['V_Call Transfer Three way', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Forwarding', 'V_Call Waiting', 'V_Hotline Service', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Hotline-Time Delayed']",10
41,19585303385a271521cb6ddfa0db9a3f,['2b450f783c302ef28b988cf8409ce946'],1,"['E_SLT PeoTV Service', 'E_TSTV', 'E_Video on Demand', 'E_PeoTV Initiation']",4
42,1a2ed49bfe7cedc91b4f21718f41d9e1,['0f1bf7780ba7eaa246cfaf5e640151da'],1,['AB_Service Vacation'],1
43,1aef14bda2e5eb683391f6bd72e251f4,['7de3419ef0e239ac7b6d39e444312f33'],1,"['V_DQ Contact Details', 'AB_Megaline', 'AB_Megaline Startup', 'V_IDD']",4
