,ACCOUNT_NUM.hash,VAS,Month_Subscribed,Rental
119,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-10,
120,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-10,
121,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-11,
122,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-11,
123,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-11,
124,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-11,
125,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-11,
126,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-11,
127,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-11,
128,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-11,
129,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-12,
130,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-12,
131,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-12,
132,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-12,
133,02059e815d999bda708149ae263946d3,BB_Extra GB,2020-03,
134,02059e815d999bda708149ae263946d3,BB_Extra GB,2020-03,
135,02059e815d999bda708149ae263946d3,BB_Extra GB,2020-03,
136,02059e815d999bda708149ae263946d3,BB_Extra GB,2020-03,
137,02059e815d999bda708149ae263946d3,BB_Extra GB,2020-04,
138,02059e815d999bda708149ae263946d3,BB_Extra GB,2020-04,
139,02059e815d999bda708149ae263946d3,BB_Extra GB,2020-05,
140,02059e815d999bda708149ae263946d3,BB_Extra GB,2020-07,
141,02059e815d999bda708149ae263946d3,BB_Extra GB,2020-07,
142,02059e815d999bda708149ae263946d3,BB_Extra GB,2020-07,
143,02059e815d999bda708149ae263946d3,BB_Extra GB,2020-08,
144,02059e815d999bda708149ae263946d3,BB_Extra GB,2020-08,
145,02059e815d999bda708149ae263946d3,BB_Extra GB,2021-03,
146,0229633f66008af9de26cf997639b5df,BB_Extra GB,2018-08,
147,025431365b96db55fe0f7f32c19415f6,BB_Extra GB,2020-02,
148,027deef02de2a9ef212786f1681d6465,BB_Extra GB,2018-12,
149,02a39e0c245c4946a50a0467e0c0d10a,BB_Extra GB,2018-08,
150,02bda578c6252a455845788de8766d69,BB_Extra GB,2019-10,
151,02efe38e4cc2e4c9856bf37ed0a2ad1b,BB_Extra GB,2019-01,
152,03171949c6283eebcbe1a610184dc41d,BB_Extra GB,2020-08,
153,033bfca5a6ec3efe628326fde56c6e14,BB_Extra GB,2019-10,
154,0343a21cd63098883687b660b665d3ee,BB_Extra GB,2019-10,
155,03440e98a13532a3aba78b2af05b15bb,BB_Extra GB,2018-08,
156,03489485bb11b7474395412e1ecd952e,BB_Extra GB,2019-10,
157,0428ed3b8393d8dfb8ff616d8cad7e15,BB_Extra GB,2018-12,
158,0461afe42861face4d95019ba70634b0,BB_Extra GB,2020-06,
159,0491e3c0087e2834e21e720a511aee1f,BB_Extra GB,2019-12,
160,04a8a3dedaecb4eef8998f146952cdbb,BB_Extra GB,2018-12,
161,04bbb025e0f05babe509b5b4e1eb8f68,BB_Extra GB,2018-08,
162,04ca121de287af15c2276e2d31f21894,BB_Extra GB,2018-08,
163,052f85b26b2ff4a46327fb069b8b97f1,BB_Extra GB,2019-10,
164,05638ddbe2c4e3c9395dbeb0df1d9f6f,BB_Extra GB,2019-10,
165,05837c9e58679948f8c0d891fa4a0ccc,BB_Extra GB,2020-06,
166,05968c6264decf938afda7899ba03f8b,BB_Extra GB,2018-08,
167,05b2253899a953b9d07f4c5f31d433c7,BB_Extra GB,2018-08,
168,05b8bccc885713712d193dec52f9f099,BB_Extra GB,2019-10,
169,06244a6ebbee2e3905aba39475b9d02b,BB_Extra GB,2018-08,
170,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-05,
171,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
172,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
173,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
174,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
175,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
176,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
177,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
178,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
179,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
