,ACCOUNT_NUM.hash,TARIFF_NAME,BB_Package,TARIFF_ID,BSS Name,Attribute,MEDIUM_INFO
4518,9a8ac6d5196ad4859c90c868f750943a,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4519,7d6779b49216f67979b3fadaff334d0c,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4520,b8f949b12ac52d76bff8f091f2d4e5eb,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4521,84598b02db58273f50806cb04cc46923,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4522,387e51b4318301d87293fee085b09d42,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4523,7ea00f300c7ef501c5cb5ea990cda3c4,z Sales End_Home,z Sales End_Home,25604.0,Home,Access Link Type,COPPER
4524,f453fab8d37575151abbfd08d08853b6,Web Pal,Web PAL,25632.0,Web Pal,Access Link Type,COPPER
4525,86216b694469e9758aa577fdb0d4c2a7,Student Package 2,Student Package 2,25639.0,Student Package 2,Access Link Type,COPPER
4526,63668d395005d8ab57e9578c744800c4,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4527,1e9ce94bff39a12fb81791da5e46c5d5,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4528,1f6c731178993235ecb5ff4a86be27d3,Web Pal,Web PAL,25632.0,Web Pal,Access Link Type,COPPER
4529,20fac8de11078e10865f68ccaebc4d0b,Any Joy,Any Joy,36743.0,Any Joy,Access Link Type,LTE
4530,c9cf724995ae7e41a38b5a782f88151f,Entree,Entree,25652.0,Entrée,Access Link Type,COPPER
4531,f86f6ed976592b4a7f27d11d27fa4091,Broadband Experience Package,Broadband Experience Package,25623.0,Broadband Experience Package,Access Link Type,COPPER
4532,27bcc795349dce0b9f24faff44cf4b97,Entree,Entree,25652.0,Entrée,Access Link Type,COPPER
4533,4107bf73ad824d7c5bc2a38552cf7f78,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4534,d9fe6496b337dbdaca2e70b71dd55898,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4535,e7b4ee1ad9be3dade2847c958e20e868,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4536,be7c7151ec52f28040f90ae376ee40aa,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4537,8dea1ccfd1a38f1077e8af6d9f253efc,Web Starter,Web Starter,25631.0,Web Starter,Access Link Type,COPPER
4538,235fc8a364ad42cf6c021b75e1eba3c3,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4539,38a6ebff001c58fc9531d4fa45e53d20,z Sales End_Home,z Sales End_Home,25604.0,Home,Access Link Type,COPPER
4540,2b60f8ffb99f7932ee00cdd291fb1dd5,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4541,d0f6a8ac95453f3805c1f102e252e3ea,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
