,Phone_Number.hash,PRODUCT_NAME,Product_Count,Product_Dict
25,163577f7c7729ed76da835bf969b8e94,['AB_Relocation'],1,{'163577f7c7729ed76da835bf969b8e94': ['AB_Relocation']}
26,164fe9176ef7ec333d9fb510f8cfb8d3,"['AB_Relocation', 'AB_Megaline', 'V_IDD', 'V_DQ Contact Details', 'V_E-channeling Registration']",5,"{'164fe9176ef7ec333d9fb510f8cfb8d3': ['AB_Relocation', 'AB_Megaline', 'V_IDD', 'V_DQ Contact Details', 'V_E-channeling Registration']}"
27,16dbc6ca83a75f51f70d852a3cb1aa44,"['V_Abbreviated Dialing', 'V_Absentee service', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']",8,"{'16dbc6ca83a75f51f70d852a3cb1aa44': ['V_Abbreviated Dialing', 'V_Absentee service', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']}"
28,16ee2310084e06316506d4aae80c07b3,['AB_Service Vacation'],1,{'16ee2310084e06316506d4aae80c07b3': ['AB_Service Vacation']}
29,174aef8363559c685ec9484e738afcb0,['V_Basic Phone Installment'],1,{'174aef8363559c685ec9484e738afcb0': ['V_Basic Phone Installment']}
30,17c746408d88718efeeb70bee0c91c3c,"['E_TSTV', 'E_SLT PeoTV Service', 'E_Video on Demand']",3,"{'17c746408d88718efeeb70bee0c91c3c': ['E_TSTV', 'E_SLT PeoTV Service', 'E_Video on Demand']}"
31,182486ef8edf03ffee6d14a8943c2614,"['V_SLT CLI', 'V_Sisu Connect']",2,"{'182486ef8edf03ffee6d14a8943c2614': ['V_SLT CLI', 'V_Sisu Connect']}"
32,184546eb59e9c5e212ecc3f19a93d6e1,"['V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']",8,"{'184546eb59e9c5e212ecc3f19a93d6e1': ['V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']}"
33,1893b439f094b5a4bdb7a99fddd3c7e1,['V_Basic Phone Installment'],1,{'1893b439f094b5a4bdb7a99fddd3c7e1': ['V_Basic Phone Installment']}
34,18a02e6eed633623ac7cde115ab7c0de,"['V_Call park', 'V_Call back on busy', 'V_Outgoing Call Memory', 'V_Call Forwarding Offline', 'V_Anonymous call barring', 'V_Call holding', 'V_Incoming Call Memory', 'V_Call Forwarding by time', 'V_CLI presentation in call waiting', 'V_Incoming Call Transfer', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Call Forwarding-Immediate']",18,"{'18a02e6eed633623ac7cde115ab7c0de': ['V_Call park', 'V_Call back on busy', 'V_Outgoing Call Memory', 'V_Call Forwarding Offline', 'V_Anonymous call barring', 'V_Call holding', 'V_Incoming Call Memory', 'V_Call Forwarding by time', 'V_CLI presentation in call waiting', 'V_Incoming Call Transfer', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Call Forwarding-Immediate']}"
35,19f6622a70b16164995db6c6f47f1091,"['V_Call Forwarding-No Answer', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Incoming Call Transfer', 'V_Incoming Call Memory', 'V_Call Forwarding Offline', 'V_Outgoing Call Memory', 'V_Absentee service']",12,"{'19f6622a70b16164995db6c6f47f1091': ['V_Call Forwarding-No Answer', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Incoming Call Transfer', 'V_Incoming Call Memory', 'V_Call Forwarding Offline', 'V_Outgoing Call Memory', 'V_Absentee service']}"
36,1a67bea22bd4ad301694e0eaf7706ce8,"['V_Call Forwarding-No Answer', 'V_Hotline-Time Delayed', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Hotline Service', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy']",10,"{'1a67bea22bd4ad301694e0eaf7706ce8': ['V_Call Forwarding-No Answer', 'V_Hotline-Time Delayed', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Hotline Service', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy']}"
