,ACCOUNT_NUM.hash,Rental,BB_Package,GB_AMOUNT,Month_Subscribed,Hour_Subscribed
135,05bab558d9088194d8c2e91ffa1f3917,100,WEB PAL,1,2021-03,19
136,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB PAL,5,2021-05,13
137,05bab558d9088194d8c2e91ffa1f3917,425,WEB PAL,5,2021-03,19
138,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB FAMILY XTRA,5,2021-05,16
139,05bab558d9088194d8c2e91ffa1f3917,200,WEB PAL,2,2021-03,13
140,bd0cc5e96b24df6625fc68cbaf71b555,425,FTTH_WEB FAMILY XTRA,5,2021-05,13
141,05bab558d9088194d8c2e91ffa1f3917,200,WEB PAL,2,2021-03,02
142,bd0cc5e96b24df6625fc68cbaf71b555,300,FTTH_WEB FAMILY XTRA,3,2021-05,10
143,05bab558d9088194d8c2e91ffa1f3917,100,WEB PAL,1,2021-03,13
144,05bab558d9088194d8c2e91ffa1f3917,100,WEB PAL,1,2021-04,13
145,bd0cc5e96b24df6625fc68cbaf71b555,300,FTTH_WEB FAMILY XTRA,3,2021-05,10
146,05bab558d9088194d8c2e91ffa1f3917,100,FTTH_WEB FAMILY PLUS,1,2021-04,03
147,bd0cc5e96b24df6625fc68cbaf71b555,300,FTTH_WEB FAMILY XTRA,3,2021-05,10
148,05bab558d9088194d8c2e91ffa1f3917,100,FTTH_WEB FAMILY PLUS,1,2021-05,01
149,bd0cc5e96b24df6625fc68cbaf71b555,300,FTTH_WEB FAMILY XTRA,3,2021-05,10
150,05bab558d9088194d8c2e91ffa1f3917,425,FTTH_WEB FAMILY PLUS,5,2021-05,16
151,bd0cc5e96b24df6625fc68cbaf71b555,200,WEB FAMILY XTRA,2,2021-05,13
152,05bab558d9088194d8c2e91ffa1f3917,300,FTTH_WEB FAMILY PLUS,3,2021-05,19
153,bd0cc5e96b24df6625fc68cbaf71b555,1500,WEB FAMILY PLUS,20,2021-06,14
154,05bab558d9088194d8c2e91ffa1f3917,200,FTTH_WEB FAMILY PLUS,2,2021-05,16
155,bd0cc5e96b24df6625fc68cbaf71b555,200,WEB LITE,2,2021-06,17
156,bd0cc5e96b24df6625fc68cbaf71b555,850,WEB FAMILY PLUS,10,2021-06,17
157,bd0cc5e96b24df6625fc68cbaf71b555,300,WEB FAMILY PLUS,3,2021-06,11
158,bd0cc5e96b24df6625fc68cbaf71b555,100,WEB STARTER,1,2021-06,14
159,bd0cc5e96b24df6625fc68cbaf71b555,200,WEB FAMILY XTRA,2,2021-06,15
160,bd0cc5e96b24df6625fc68cbaf71b555,425,FTTH_WEB FAMILY PLUS,5,2021-06,16
161,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB STARTER,5,2021-06,16
162,bd0cc5e96b24df6625fc68cbaf71b555,100,ANY BEAT,1,2021-06,17
163,bd0cc5e96b24df6625fc68cbaf71b555,425,STUDENT PACKAGE 1,5,2021-07,18
164,bd0cc5e96b24df6625fc68cbaf71b555,510,WEB STARTER,6,2021-07,14
165,bd0cc5e96b24df6625fc68cbaf71b555,850,WEB PAL,10,2021-07,17
166,bd0cc5e96b24df6625fc68cbaf71b555,850,WEB FAMILY PLUS,10,2021-07,13
167,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB STARTER,5,2021-07,14
168,bd0cc5e96b24df6625fc68cbaf71b555,425,STUDENT PACKAGE 1,5,2021-07,15
169,bd0cc5e96b24df6625fc68cbaf71b555,425,STUDENT PACKAGE 1,5,2021-07,15
170,bd0cc5e96b24df6625fc68cbaf71b555,850,WEB STARTER,10,2021-07,10
171,bd0cc5e96b24df6625fc68cbaf71b555,1275,FTTH_WEB FAMILY PLUS,15,2021-07,14
172,bd0cc5e96b24df6625fc68cbaf71b555,1275,WEB FAMILY PLUS,15,2021-07,16
173,bd0cc5e96b24df6625fc68cbaf71b555,1500,FTTH_WEB FAMILY XTRA,20,2021-07,22
174,bd0cc5e96b24df6625fc68cbaf71b555,1275,WEB FAMILY PLUS,15,2021-07,00
175,bd0cc5e96b24df6625fc68cbaf71b555,510,WEB STARTER,6,2021-07,10
176,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB FAMILY PLUS,5,2021-07,11
177,bd0cc5e96b24df6625fc68cbaf71b555,1500,WEB FAMILY PLUS,20,2021-07,17
178,bd0cc5e96b24df6625fc68cbaf71b555,850,FTTH_ANY FLIX,10,2021-07,16
179,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB FAMILY PLUS,5,2021-07,05
180,bd0cc5e96b24df6625fc68cbaf71b555,850,WEB FAMILY PLUS,10,2021-07,16
181,bd0cc5e96b24df6625fc68cbaf71b555,850,WEB FAMILY PLUS,10,2021-07,13
182,bd0cc5e96b24df6625fc68cbaf71b555,850,WEB FAMILY PLUS,10,2021-07,10
183,bd0cc5e96b24df6625fc68cbaf71b555,425,ANY BEAT,5,2021-07,13
184,bd0cc5e96b24df6625fc68cbaf71b555,850,WEB FAMILY PLUS,10,2021-07,14
185,bd0cc5e96b24df6625fc68cbaf71b555,850,FTTH_ANY FLIX,10,2021-07,19
186,bd0cc5e96b24df6625fc68cbaf71b555,850,WEB FAMILY PLUS,10,2021-07,19
187,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB FAMILY PLUS,5,2021-07,10
188,bd0cc5e96b24df6625fc68cbaf71b555,850,WEB FAMILY PLUS,10,2021-07,11
189,bd0cc5e96b24df6625fc68cbaf71b555,1500,FTTH_WEB FAMILY XTRA,20,2021-07,13
190,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB FAMILY PLUS,5,2021-07,16
191,bd0cc5e96b24df6625fc68cbaf71b555,200,ANY BEAT,2,2021-07,16
192,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB FAMILY PLUS,5,2021-07,13
193,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB FAMILY PLUS,5,2021-07,14
194,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB LITE,5,2021-07,14
195,bd0cc5e96b24df6625fc68cbaf71b555,850,FTTH_ANY FLIX,10,2021-07,14
196,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB LITE,5,2021-07,17
197,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB FAMILY PLUS,5,2021-07,19
198,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB LITE,5,2021-07,10
199,bd0cc5e96b24df6625fc68cbaf71b555,300,WEB FAMILY PLUS,3,2021-07,10
200,bd0cc5e96b24df6625fc68cbaf71b555,200,WEB FAMILY PLUS,2,2021-07,14
201,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB FAMILY XTRA,5,2021-07,14
202,bd0cc5e96b24df6625fc68cbaf71b555,850,FTTH_WEB FAMILY XTRA,10,2021-07,16
203,bd0cc5e96b24df6625fc68cbaf71b555,850,WEB FAMILY PLUS,10,2021-07,16
