,ACCOUNT_NUM.hash,FTTH_Package,FTTH_Month_Subscribed,FTTH_Rental,FTTH_One_Time_Charge,Package_Type,MEDIUM
84,bd0cc5e96b24df6625fc68cbaf71b555,['AB Fiber Access Bearer'],['2020-08'],[],[],['Other'],['MC']
85,bdf75e0f8d6e8c10e9e8495654df21ec,['AB Fiber Access Bearer'],['2017-07'],[],[],['Other'],['MC']
86,c310c8a2a64c63c047e5c05c546aa57d,['AB Fiber Access Bearer'],['2019-09'],[],[],['Other'],['MC']
87,c454c58952c9380f8729d124925f9d0d,['AB Fiber Access Bearer'],['2019-06'],[],[],['Other'],['MC']
88,c8ce63b0fe9d15584712b2cb2630b0c2,['AB Fiber Access Bearer'],['2017-03'],[],[],['Other'],['MC']
89,c95c7f709f3a220e5e9990d7467f820b,['AB Fiber Access Bearer'],['2017-02'],[],[],['Other'],['MC']
90,cc88c49f580c13600e99dfd9920d05e9,['AB Fiber Access Bearer'],['2020-02'],[],[],['Other'],['MC']
91,d1d1785fd3a15a110c8749bb62452a43,['AB Fiber Access Bearer'],['2019-10'],[],[],['Other'],['MC']
92,d284e1191d20b572d37e0d3eaff43e3b,['AB Fiber Access Bearer'],['2017-04'],[],[],['Other'],['MC']
93,d54af3961d00eb3e721ce7cc7574e4b4,['AB Fiber Access Bearer'],['2015-11'],[],[],['Other'],['MC']
94,d5b3f685fee264650b3de22f2bef0023,['AB Fiber Access Bearer'],['2015-05'],[],[],['Other'],['MC']
95,d8325eb73900b427a709daa28342b443,['AB Fiber Access Bearer'],['2016-10'],[],[],['Other'],['MC']
96,d9b961170143b639ed40c1ec783fd8a5,['AB Fiber Access Bearer'],['2017-01'],[],[],['Other'],['MC']
97,d9feb3a5fe99296b3fc9c717481e5449,['AB Fiber Access Bearer'],['2016-10'],[],[],['Other'],['MC']
98,daa74e4f9afbb374acc64969fe778808,['AB Fiber Access Bearer'],['2020-08'],[],[],['Other'],['MC']
99,dbaa2345f60ee29f6daa52326eaa715f,['AB Fiber Access Bearer'],['2019-10'],[],[],['Other'],['MC']
100,dcab884afd6c1a13df78119714e9b76e,['AB Fiber Access Bearer'],['2018-10'],[],[],['Other'],['MC']
101,dd5253ea4772b427cc0e87ff6535b058,['AB Fiber Access Bearer'],['2018-12'],[],[],['Other'],['MC']
102,e0acecc8cf10f8ad9cd58cf9522f3ade,['AB Fiber Access Bearer'],['2016-10'],[],[],['Other'],['MC']
103,e1dda300da26ab86ce65d3d73d22ecd0,['AB Fiber Access Bearer'],['2016-09'],[],[],['Other'],['MC']
104,e56a29aae85d21858dcc1ec635c09120,['AB Fiber Access Bearer'],['2016-10'],[],[],['Other'],['MC']
105,e85fd21e8b6c3633b8bfe02df52072f2,['AB Fiber Access Bearer'],['2016-10'],[],[],['Other'],['MC']
106,f22295dcdeb9502825e7d6140bbf8542,['AB Fiber Access Bearer'],['2019-01'],[],[],['Other'],['MC']
107,f7e5d90e8464194308301a8f63a4678f,['AB Fiber Access Bearer'],['2020-02'],[],[],['Other'],['MC']
108,fc7024e855a03603472e20244eadba00,['AB Fiber Access Bearer'],['2018-12'],[],[],['Other'],['MC']
