,event_source.hash,ACCOUNT_NUM.hash,CUSTOMER_REF.hash,FREE_VAS_Package,FREE_VAS_Month_Subscribed,FREE_VAS_Rental,FREE_VAS_One_Time_Charge,VAS_Count
13,0026bc35582f35a49a1f7c7c9e46a32e,3bc61b93cea92e9c79c8eb1a07f8c5c5,daaaa6d179bd70f8ac7fd0d15c5ed78d,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
14,002ceba47c3a55e5b5200f250ca999d5,df42f109781d3f3314df8fc89001dd37,27f7021c0ac5a6942c88ba41639288a6,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
15,002d25cd54ee8105ba30913f02cabf8a,4c7a4769273c7a2eb4860a09f6376a70,b30293458c6565bc283bac15b92aa38d,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
16,002fb47f60400713c854b0f69ff78c0a,86562710d6118c9ff1c0426d6d6d4fe4,afbd804ec207ff59a84a59c03152550b,['V_SLT Voice Service'],['2019-07'],[0],[0.0],1
17,003de40503f12be04b110634ef7cdb61,daa74e4f9afbb374acc64969fe778808,dffc1c556d835833616d2e57b50ed4b2,['V_SLT Voice Service'],['2020-01'],[0],[0.0],1
18,003f9f9fce7845ed75666316902514ee,5d853feeb09048ff7abde29cbaa8ec51,afbd221ba37a5d89aaf0d44a472f7ce7,['V_SLT Voice Service'],['2016-10'],[0],[0.0],1
19,00417d5363396444c94e001e61d0336a,8d8472d39b270801553f2d5e7c06fe22,f8743da5d0bff84f9440fb44fce1bdc1,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
20,0042eb3bb01aa290e8db5c95c77e244d,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['V_SLT Voice Service'],['2019-04'],[399.0],[0.0],1
21,0051a9ad0b47a79f985c06ebc53aa2c1,9886d2e4e61e33d0a4388667c7bfc68c,25765bc4c44f0184136f85a94d129d56,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
22,00567a4a3c474aca1ce5cd6570648932,a6f795fa3e3bf7daec81bd44a9d1b59f,94d03fb470ccde68c7ccc8412dc8046f,['V_SLT Voice Service'],['2019-01'],[0],[0.0],1
23,0058833556d3e2f2deafa5000b761732,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
24,005ecee7af3eabf691d1594bcc6f7e5b,dcab884afd6c1a13df78119714e9b76e,10cbb7cbabcfa7868a816f1f4f0187bb,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
25,0062761b0f313479278a33ba9e112b43,6b4bfa1e32f513071c6b138a86c3bac9,0552174bba6950523aa45450f6690d02,['V_SLT Voice Service'],['2019-02'],[499.0],[0.0],1
26,006421e9805e2a37636278502015a6c6,d3e92a3b5f6d9389270489a762cd5b89,a1f1deda47c60394a0da563e30128f01,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
27,0067672df4b2fc6d6c0b6f3b67655c0d,06623c7ba64331f615ff83c5664b71bb,ac995f79a7164b89de084396352b343b,['V_SLT Voice Service'],['2018-07'],[0],[0.0],1
28,0069b3b25814bc947cd2191611347729,29e4ed1dd895c838aae14cef338f8640,6048d4cca6eb5b161321e536031dfe17,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
29,006be321aad541ff1d6c32a43dd7cdde,ae41a5f36a8d76e69c5a846621497a1c,62c4c5afe7a31961b7ab273d5816615e,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
30,006d02b6d7b8299cced8c861c4df56f4,16ba7704ef69803d3d41ebde44ad1c06,f7f58f60160d44ff1205c52c8676999f,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
31,006e764ffa0d8e5f11b5362e49456009,4a53c2f008c7fcb139a7f3b90e2b0f85,e92e460daa0be0f4b80b0e215cfdf579,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
32,0070e89436f5dd76184aafe68cda6af0,a1e2b9c2faf456eece4bb507dd044fcd,ae041952f243955016cb60d82413a8bf,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
33,00724ae2470df1ed0fe919800d02517d,4cf83d8277f8c1cd95199a342092e808,3ec5121585db60541f3a1aabe515a894,['V_SLT Voice Service'],['2020-08'],[0],[0.0],1
34,0072572543edeaf3ff5902a80cd0e3f9,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['V_SLT Voice Service'],['2018-09'],[0],[0.0],1
35,0074ca4eb00b4faae08701181b27895b,6b7be273b0a6a07061de0e420cf360fd,b18e081efbd74104c18e5330fd576a06,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
36,00768613dcde5cd5723a25a7234b9a9f,11f7e861a3df964f9872b07b691139f2,a71dbdfd21b02715649492d3b8c09226,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
37,007d5559672d013063c69b39d90a50c1,cc88c49f580c13600e99dfd9920d05e9,ac995f79a7164b89de084396352b343b,['V_SLT Voice Service'],['2018-07'],[0],[0.0],1
