,ACCOUNT_NUM.hash,Megaline_Package,Megaline_Month_Subscribed,Megaline_Rental,Megaline_One_Time_Charge,Package_Type,MEDIUM
148,0b82a6c0cb83d39c4ada89492df3025d,"['AB Copper Access Bearer', 'SLT Voice Service', 'BB SLT BroadBand Service']","['2020-08', '2020-08', '2020-08']",[1490.0],[],"['Other', 'Voice', 'BB']","['MC', 'MC', 'MC']"
149,0b94fd748cefb36677b609c18d4d989c,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
150,0ba9e27d81ca177d741da15c29dfdfb8,['SLT Voice Service'],['2018-08'],[],[],['Voice'],['MC']
151,0bb7578df4cca43189acebbe179ca42c,"['BB SLT BroadBand Service', 'SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08', '2018-08']",[499.0],[],"['BB', 'Voice', 'Other']","['MC', 'MC', 'MC']"
152,0bbe2e5799bbf12ab6c8b62d840590ee,"['AB Copper Access Bearer', 'SLT Voice Service', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2018-12']",[],[],"['Other', 'Voice', 'BB']","['MC', 'MC', 'MC']"
153,0bce1c166cd241dd1338baf4b3a733c1,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
154,0be59dc046f0cbed83ddb8af3ce2816a,"['BB SLT BroadBand Service', 'SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08', '2019-06']",[1490.0],[],"['BB', 'Voice', 'Other']","['MC', 'MC', 'MC']"
155,0c0b7fcdce3512b45183c83bbfee30fd,"['BB SLT BroadBand Service', 'SLT Voice Service', 'AB Copper Access Bearer', 'SLT PeoTV Service']","['2018-08', '2018-08', '2018-08', '2018-08']","[1490.0, 899.0]",[],"['BB', 'Voice', 'Other', 'PeoTV']","['MC', 'MC', 'MC', 'MC']"
156,0c0eb84d8f25e215afacda6c60391d99,"['AB Copper Access Bearer', 'SLT Voice Service', 'BB SLT BroadBand Service']","['2019-04', '2019-04', '2019-04']",[450.0],[],"['Other', 'Voice', 'BB']","['MC', 'MC', 'MC']"
157,0c101d66650e325caadc4759d5b64042,"['AB Copper Access Bearer', 'SLT Voice Service']","['2019-06', '2019-06']",[],[],"['Other', 'Voice']","['MC', 'MC']"
158,0c1ae2bf5ea18df4b2a1967fb5128e4b,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08']",[],[],"['Other', 'Voice']","['MC', 'MC']"
159,0c3a54faa9ea080be29f3b712ae4ae32,"['AB Copper Access Bearer', 'SLT PeoTV Service', 'SLT Voice Service']","['2018-08', '2018-08', '2018-08']",[550.0],[],"['Other', 'PeoTV', 'Voice']","['MC', 'MC', 'MC']"
160,0c3b78f94d54d814d6324f8673678aa7,"['AB Copper Access Bearer', 'SLT PeoTV Service', 'SLT Voice Service', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2018-08', '2018-12']","[899.0, 450.0]",[],"['Other', 'PeoTV', 'Voice', 'BB']","['MC', 'MC', 'MC', 'MC']"
161,0c43b8f3cee411b60f0d861c313e3245,"['AB Copper Access Bearer', 'SLT Voice Service', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2019-10']",[1490.0],[],"['Other', 'Voice', 'BB']","['MC', 'MC', 'MC']"
162,0c4a4871af386fbb10d99dfa3f4a4573,"['SLT Voice Service', 'AB Copper Access Bearer', 'SLT PeoTV Service', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2018-08', '2019-01']","[899.0, 890.0]",[],"['Voice', 'Other', 'PeoTV', 'BB']","['MC', 'MC', 'MC', 'MC']"
