,ACCOUNT_NUM.hash,Voice_Package,Voice_Month_Subscribed,Voice_Rental,Voice_One_Time_Charge,is_Megaline_Package,is_FTTH_Package,is_VAS,FREE_or_PAID,is_Subscription,Package_Count
144,0123989784f14c94c6356d8069cf3a8d,,,,,,,YES,PAID,,1
145,01259194fb1d28c3a09272fc2f568157,,,,,,,YES,PAID,,1
146,01285451178a284d131f87f8338d7cd1,,,,,,,YES,PAID,,1
147,012e5742754cab843719dba6c9a9461a,,,,,,,YES,PAID,,1
148,0131580b1b044adb1d3d15d83361ce4c,,,,,,,YES,PAID,,1
149,0131cec9380702374a381f59de2eb0e4,,,,,,,YES,PAID,,1
150,0132fbefb2d3fa2cd059e2ac96d8b870,,,,,,,YES,PAID,,1
151,01362a3f5cb3a4f2ac63ae5236b38f19,,,,,,,YES,PAID,,1
152,01375cccc77c8ae065cd5e8f8dcd88aa,,,,,,,YES,PAID,,1
153,0137ab5960abf9f127dbbd8aed3f1bb2,,,,,,,YES,PAID,,1
154,0138feb19f79ac38282ce373e22a9005,,,,,,,YES,PAID,,1
155,013aa3d84ac8484a1c468dfb1859b019,,,,,,,YES,PAID,,1
156,013ab3c2b80398def422f8e545b8323e,,,,,,,YES,PAID,,1
157,013d9654262b9d72a7e93899a689583f,,,,,,,YES,PAID,,1
158,014078026eb318b78b97258b28415be0,,,,,,,YES,PAID,,2
159,0141359554f0e9266388d09f4024361e,,,,,,,,PAID,,1
160,01438371a3789aceda63d8511ad5258f,,,,,,,YES,PAID,,1
161,0143de321a593aec67baccc11959c595,,,,,,,YES,PAID,,1
162,014477f009572060bf5e5c679aa04d92,,,,,,,YES,PAID,,1
163,014b7100f64e0f1ed85046740c4661a3,,,,,,,YES,PAID,,1
164,014d6fafcac146e27cbd4e1c90db64b6,,,,,,,YES,PAID,,1
165,01503fcb2af2c6bfd6bef41297ce9ef6,,,,,,,YES,PAID,,1
166,015048b8f03c68d85c939862ac501b8c,,,,,,,,PAID,,1
167,015c9ec8332e6443f753b974f9e7e9d4,,,,,,,YES,PAID,,1
168,01616ab0b746b47eba1483d242dbce54,,,,,,,YES,PAID,,1
169,0162fe04bffcf501259b5f2f05b7ed2e,,,,,,,YES,PAID,,1
170,0164a771b6241026572b8f9d375e086e,,,,,,,YES,PAID,,1
171,01650f11cfcf844fe7d3b5dd8f005951,,,,,,,YES,PAID,,1
172,0167df44e80fcad59ff56eafcc92e1d5,,,,,,,YES,PAID,,1
173,016905f3561450cff205a5365bd84c05,,,,,,,YES,PAID,,1
174,0169721032cbfb40b5d5db3ce149466a,,,,,,,YES,PAID,,1
175,0169c259ffa6c2a5d1aa8232a516d22a,,,,,,,YES,PAID,,1
176,016c5be1953709f1c07792c5611a1f5a,,,,,,,YES,PAID,,1
177,016eb9826bc2e267c9ad25701b29f50b,,,,,,,YES,PAID,,1
178,016efc37d0a07edf54a0b7268ea46013,,,,,,,YES,PAID,,1
179,01712d1bc502e998093cc338412fb05c,,,,,,,YES,PAID,,1
180,0172617560bc483496cd4c069aa35f42,,,,,,,YES,PAID,,1
181,0173026de099e4e9f62f81b15c9adc59,,,,,,,YES,PAID,,3
182,017320ba34a2b89470506f02bca413a4,,,,,,,,PAID,,1
183,01755f26705e29d5765f7482ea0672d4,,,,,,,YES,PAID,,1
184,0177567c8465112ed634626c39da41f4,,,,,,,YES,PAID,,1
185,017d5b31b1bdd6608bdc981043025e50,,,,,,,YES,PAID,,1
186,017e1470552144ce0e2d0a7512669cb4,,,,,,,YES,PAID,,2
187,017e79c06563b6657bc64638c784f92d,,,,,,,YES,PAID,,1
188,0181f99645c69158278dda2d9a07eec2,,,,,,,YES,PAID,,1
189,018213ec661054fea1ae5bec840e6eae,,,,,,,YES,PAID,,1
190,018524ab6ff4a63c875bc5dfae333e54,,,,,,,YES,PAID,,1
191,018592984ef00453ddd6803aff1d8433,,,,,,,YES,PAID,,1
192,01859b434277feb12dd198e651c79d88,,,,,,,YES,PAID,,1
193,0186f52143b3719ffd0a3bba53132521,,,,,,,YES,PAID,,1
194,0188260b030357fff8afaba2edc9beb8,,,,,,,YES,PAID,,1
195,018a60ce5c8faca3d3ecdb168e91aec0,,,,,,,YES,PAID,,1
196,019217a7950072f267ab6dcb0d790969,,,,,,,YES,PAID,,3
197,019322a3191a08bff5dbc6296654bfd4,,,,,,,YES,PAID,,1
198,01966137d50ca7e1d68d7f218d5a6c80,,,,,,,YES,PAID,,1
199,019a3006ab77493ca297e46b8623922c,,,,,,,YES,PAID,,1
200,019ced78369c3e483290e3e1def02bc0,,,,,,,YES,PAID,,1
201,019f1c6f13d12c2264aef00739d54720,,,,,,,,PAID,,2
202,01a0367801a055b19beb1f697d3fb1ad,,,,,,,YES,PAID,,1
203,01a0affb8ce1de7839e411eaf381fe3a,,,,,,,YES,PAID,,1
204,01a0b2ef9ee3bd9d5c44c19387bc3a4b,,,,,,,YES,PAID,,1
205,01a2159c5709fdb2afde59128bb4c05a,,,,,,,YES,PAID,,1
206,01a36d7b2425fd5e9f26c706a3609fcb,,,,,,,YES,PAID,,1
207,01a438c1dd1c52369c563b0c9bc3ce8c,,,,,,,YES,PAID,,1
208,01a4b15101ea8450464edb82136cce3a,,,,,,,YES,PAID,,1
209,01a57cbc5a474240bc643346541d511d,,,,,,,YES,PAID,,1
210,01a5ea059a0b4b26db953c29ea77effe,,,,,,,YES,PAID,,1
211,01a79ca6781793cf32892ba66a8ddd17,,,,,,,YES,PAID,,1
212,01ac5f78e6fa2d308276acb764523cb6,,,,,,,YES,PAID,,1
213,01acbeeca2ce45c0059a4e9bef369f95,,,,,,,YES,PAID,,1
214,01ae89983d42d8705eb3b6f479982ad6,,,,,,,YES,PAID,,1
215,01aff3943ed2cb041485791fd246d5e9,,,,,,,YES,PAID,,1
216,01b22d8036360e329fe677fe9b7cd0e3,,,,,,,YES,PAID,,2
217,01b2e392dd5dbe921c670d4aa9ddb12a,,,,,,,YES,PAID,,1
218,01b4154d06ad40fe33bb19eee3168f73,,,,,,,YES,PAID,,1
219,01b420f897c13f2fd3a39a7718fde9cb,,,,,,,YES,PAID,,1
220,01b74628d4b68c4fac9c0fa28c9b2e04,,,,,,,YES,PAID,,1
221,01b82aa09fa64d7c42f2072c2ee5f452,,,,,,,YES,PAID,,1
222,01bb03259f6c37bb844857858c1ffd40,,,,,,,,PAID,,1
223,01be8780b33497e830f9dbca6c22e301,,,,,,,YES,PAID,,1
224,01c2024c40d05be75ebb311aa47b3c19,,,,,,,YES,PAID,,1
225,01c59b40a7a9b1666ca8d7c67f7ad99a,,,,,,,YES,PAID,,1
226,01c824b215d4c492950eb9f3f8c6864c,,,,,,,YES,PAID,,1
227,01c90a2a41e8eb8514aeaa0b1a5d7aad,,,,,,,YES,PAID,,1
228,01cbc9b050fa000d1de651103cd30fc3,,,,,,,,PAID,,1
229,01cbd17b54a586566017fd07f8e27958,,,,,,,YES,PAID,,1
230,01ce63ab75970cab478012ba68e1f425,,,,,,,YES,PAID,,1
231,01d0ce4d65f23773d9583f472d98fc64,,,,,,,YES,PAID,,1
232,01d16d6df5c048dcde94c4d9598e2e98,,,,,,,YES,PAID,,1
233,01d4aea4b4e156705a9ff94e699e5aa3,,,,,,,,PAID,,1
234,01d4cf52d9e018f8463616c3450f959a,,,,,,,YES,PAID,,1
235,01d4dd240047754dc20dabc2e07b63a8,,,,,,,YES,PAID,,1
236,01d5a8a5c83f079ee10213ae691203ec,,,,,,,YES,PAID,,1
237,01d8625d33b9c5f3d79b54009773ccd5,,,,,,,YES,PAID,,1
238,01d99821085010ff209ed62f54bb06a7,,,,,,,YES,PAID,,1
239,01dad19c7ceb152209ca9ee282a45c56,,,,,,,YES,PAID,,1
240,01de9990ae13d651d8adbfc4bb1a6f72,,,,,,,,PAID,,1
241,01e0ad7752488205255decda1a450db4,,,,,,,YES,PAID,,1
242,01e25e077d68313f26e36bc9d32f5fbf,,,,,,,YES,PAID,,1
243,01e26ccf34fbf08239ab3a84d0c9e3e7,,,,,,,YES,PAID,,1
244,01e40ecaf21923705af6d1965f415dbc,,,,,,,YES,PAID,,1
245,01e4e0a5c31ece95469a6f349b5f8828,,,,,,,YES,PAID,,1
246,01e582bf124e3da84695b6a1ce05379e,,,,,,,YES,PAID,,1
247,01e7cfd923e58b55c92f834e909422bb,,,,,,,YES,PAID,,1
248,01eef7adb0c934e28a1ef7b93a778171,,,,,,,YES,PAID,,1
249,01f1cba75f5333ea8be0ac23aa28630f,,,,,,,YES,PAID,,1
250,01f29baefa8fabbd7351cc8260f56323,,,,,,,YES,PAID,,21
251,01f86bfb912593e5dea2930b3f649a1c,,,,,,,YES,PAID,,1
252,01f9b4167e1d12692507e8501b891bef,,,,,,,YES,PAID,,1
253,01fa1384fd89d4212f4bd556aeffd7ed,,,,,,,YES,PAID,,1
254,01fa3678ca36adeaf38e420ba586571a,,,,,,,YES,PAID,,1
255,01fd182573b5a1b05a4a8ca67898ffcd,,,,,,,YES,PAID,,1
256,02048661c03b772fb0b52c6ec3b15bc3,,,,,,,YES,PAID,,1
257,02059e815d999bda708149ae263946d3,,,,,,,,PAID,,47
258,0206605c5dfc8bcb4ed6fc6baf63302d,,,,,,,YES,PAID,,1
259,02072a8cd412912a5479146d189f2bf6,,,,,,,YES,PAID,,1
260,020a7fc1953083c0974a4f8df1236f92,,,,,,,YES,PAID,,1
261,020b73caa355ed34716348368cd4b5c5,,,,,,,YES,PAID,,1
262,020bc9d9f8901c3f8da81cffc28ab445,,,,,,,YES,PAID,,1
263,020bed46f1653c2655373b132d035a9a,,,,,,,YES,PAID,,1
264,02109581f26de0b8fa3516e34a46e90b,,,,,,,YES,PAID,,1
265,02141f3eca4748b479dd8f8f118028a7,,,,,,,YES,PAID,,1
266,0214c06d9d7b295910cb51a77231bb4d,,,,,,,YES,PAID,,1
267,021531b6c97c629e0f4c101bcb91d3c2,,,,,,,YES,PAID,,1
268,02156d2063cafca8b87d6c9342fe3b08,,,,,,,YES,PAID,,1
269,0216bbeff531b668ebfb57ae3fe6eaf8,,,,,,,YES,PAID,,1
270,0216d94a8810eed75a6b1e0cca23b7a4,,,,,,,YES,PAID,,1
271,0218942d33be7487e6840bc00ad6c537,,,,,,,YES,PAID,,1
272,021d0af797d4aac6bdb1c5d718662582,,,,,,,,PAID,,1
273,0223e3c441a89a982506ef268cb7919d,,,,,,,YES,PAID,,1
274,0223fbbd82da7c6de535677fa4f16c61,,,,,,,,PAID,,1
275,0227c625777f504cf8e2bcf5709a5256,,,,,,,,PAID,,1
276,022805772bdb40aba1dd309687c29dd0,,,,,,,YES,PAID,,1
277,022f7e92965dc761ffedecbf0c913fb4,,,,,,,YES,PAID,,1
278,02328f97259825e79837f18cd6385535,,,,,,,YES,PAID,,1
279,023344f0b4c95352870f57154233fe2a,,,,,,,YES,PAID,,1
280,02345d2e2fec4ee871c85f8bd4998c2e,,,,,,,YES,PAID,,1
281,0238dd84c0d51ba1440570afaa84db6a,,,,,,,YES,PAID,,1
282,023bdb7791a87e390f2398a0f7b6a3d0,,,,,,,YES,PAID,,1
283,023c3b963ffce137376de5e1d4b87fa9,,,,,,,YES,PAID,,1
284,023c8b583b136abee0ccd3c94d80c189,,,,,,,YES,PAID,,1
285,023cda111b58a17e84e992ba9bd08bfa,,,,,,,YES,PAID,,1
286,023ce23d5398e2772ce4dd12c2089b37,,,,,,,,PAID,,1
287,023ff6f7a2b8e7dd306e7c3ad4cec0b6,,,,,,,YES,PAID,,1
288,02408bff6a5e28e972a8375eec070702,,,,,,,YES,PAID,,1
289,024159d5acf2eae305d61a222e00dc46,,,,,,,YES,PAID,,1
290,02461deafb0b56d960cc3dfa4342d873,,,,,,,YES,PAID,,1
291,0248b8fe68fe2dc5981c8b2f68e7faca,,,,,,,YES,PAID,,1
292,024b2988cbde3236213a560cf2dc322f,,,,,,,YES,PAID,,1
293,024b419d6e6ce652212a2fc9bf3588e2,,,,,,,YES,PAID,,1
294,024e329d90998d9039759aaffa096ea2,,,,,,,YES,PAID,,1
295,024ee43d26eb24b9a042ae0c751febc6,,,,,,,YES,PAID,,1
296,024f6a9c66d32c223a7566f4ad1e0a40,,,,,,,YES,PAID,,1
297,0250092ba328013b5b97757c14701f2e,,,,,,,YES,PAID,,1
298,02516f86da6d9d74a9f9c64a120bd4c4,,,,,,,YES,PAID,,2
299,0255325412774bb8cd1927ada2dc644d,,,,,,,YES,PAID,,1
300,0256cebb1d486a60dc3d1c9bb1d58537,,,,,,,YES,PAID,,1
301,0257f227334e692c0f008879aebecff9,,,,,,,YES,PAID,,1
302,025be516c64e27e6ddb55eb9d0865541,,,,,,,,PAID,,1
303,025d0ac1fe28db32d09c8ea42e0f05d5,,,,,,,YES,PAID,,1
304,025d3327f607e2734203fb7931c7eb04,,,,,,,YES,PAID,,1
305,025d70d11b430386d10f38c9da805974,,,,,,,YES,PAID,,1
306,025e87ae2d4e8faa1847a623237164df,,,,,,,YES,PAID,,1
307,02619d1dcb4210e1620a60e10a97c61b,,,,,,,YES,PAID,,1
308,026368f4bccda09644665c13cbe13079,,,,,,,YES,PAID,,5
309,026571b84326a3b9cbe0d5f8d36ebbed,,,,,,,YES,PAID,,1
310,02664e81ff86fe1578a723a3917a1cd0,,,,,,,YES,PAID,,1
311,0267f70fcebd8e51916348d559047184,,,,,,,YES,PAID,,1
312,02689f58b5b02dc9abe857f8c98646d9,,,,,,,YES,PAID,,1
313,0268cd1469fda5668bd018b14f816c6d,,,,,,,YES,PAID,,2
314,026b8b002aed77239793b7b840656595,,,,,,,YES,PAID,,1
315,026bd80c4d6c5daf4b7677512aa491eb,,,,,,,YES,PAID,,1
316,0274b4c08d99b0010d3b1da7296e427a,,,,,,,YES,PAID,,1
317,027a08814bb00ec68b0586b1d554de6c,,,,,,,YES,PAID,,1
318,027deef02de2a9ef212786f1681d6465,,,,,,,,PAID,,1
319,027e4d7c0f2e1329adfbaef8b8246708,,,,,,,YES,PAID,,1
